Iceland	507	1.5	492	1.6	484	1.9	500	1.4	483	1.8	-24	6.4	-9	6.1	-2	6.2	-18	3.5	-1.3	0.25	0.4	0.64	0.1	0.15
Ireland	527	3.2	515	2.6	517	3.5	496	3.0	523	2.6	-3	7.2	8	6.7	6	7.1	28	4.7	-0.9	0.36	4.2	1.19	0.4	0.18
Israel	452	8.5	m	m	439	4.6	474	3.6	486	5.0	34	11.5	m	m	47	8.8	12	6.7	3.7	0.84	10.8	2.19	0.7	0.27
Italy	487	2.9	476	3.0	469	2.4	486	1.6	490	2.0	2	6.9	14	6.7	21	6.4	4	3.6	0.5	0.33	5.8	0.98	0.4	0.17
Japan	522	5.2	498	3.9	498	3.6	520	3.5	538	3.7	16	8.7	40	7.8	40	7.6	18	5.7	1.5	0.46	12.1	1.39	0.9	0.19
Korea	525	2.4	534	3.1	556	3.8	539	3.5	536	3.9	11	7.5	2	7.5	-20	7.8	-3	5.9	0.9	0.37	-5.2	1.29	-0.5	0.18
Luxembourg	m	m	479	1.5	479	1.3	472	1.3	488	1.5	m	m	8	6.0	8	5.9	16	3.3	0.7	0.25	4.7	0.66	0.5	0.16
Mexico	422	3.3	400	4.1	410	3.1	425	2.0	424	1.5	2	7.0	24	7.1	13	6.5	-2	3.6	1.1	0.34	4.8	1.04	0.3	0.17
Netherlands	m	m	513	2.9	507	2.9	508	5.1	511	3.5	m	m	-2	7.2	4	7.2	3	6.7	-0.1	0.55	2.2	1.83	0.3	0.25
NewZealand	529	2.8	522	2.5	521	3.0	521	2.4	512	2.4	-17	7.0	-9	6.6	-9	6.8	-9	4.2	-1.1	0.33	-1.4	0.96	0.0	0.17
Norway	505	2.8	500	2.8	484	3.2	503	2.6	504	3.2	-1	7.3	4	7.0	20	7.2	1	4.9	0.1	0.35	4.6	1.27	0.4	0.18
Poland	479	4.5	497	2.9	508	2.8	500	2.6	518	3.1	39	8.0	22	7.0	11	7.0	18	4.8	2.8	0.46	0.6	1.29	-0.2	0.19
Portugal	470	4.5	478	3.7	472	3.6	489	3.1	488	3.8	18	8.3	10	7.7	15	7.6	-2	5.5	1.6	0.45	1.9	1.47	0.0	0.19
SlovakRepublic	m	m	469	3.1	466	3.1	477	2.5	463	4.2	m	m	-6	7.7	-4	7.6	-15	5.5	-0.1	0.62	-2.9	1.79	-0.3	0.28
Slovenia	m	m	m	m	494	1.0	483	1.0	481	1.2	m	m	m	m	-13	5.8	-2	3.1	-2.2	0.53	1.0	0.99	0.5	0.48
Spain	493	2.7	481	2.6	461	2.2	481	2.0	488	1.9	-5	6.8	7	6.5	27	6.3	7	3.8	-0.3	0.30	7.2	0.97	0.6	0.17
Sweden	516	2.2	514	2.4	507	3.4	497	2.9	483	3.0	-33	7.0	-31	6.8	-24	7.2	-14	4.9	-2.8	0.34	-5.3	1.13	-0.2	0.17
Switzerland	494	4.2	499	3.3	499	3.1	501	2.4	509	2.6	15	7.7	10	7.0	10	6.9	9	4.4	1.0	0.42	1.8	1.05	0.1	0.17
Turkey	m	m	441	5.8	447	4.2	464	3.5	475	4.2	m	m	35	9.1	28	8.2	11	6.1	4.1	0.76	5.1	2.23	0.1	0.32
UnitedKingdom	m	m	m	m	495	2.3	494	2.3	499	3.5	m	m	m	m	4	7.0	5	4.9	0.7	0.64	2.7	2.63	0.3	0.42
UnitedStates	504	7.0	495	3.2	m	m	500	3.7	498	3.7	-7	9.9	2	7.5	m	m	-2	5.8	-0.3	0.53	1.2	2.01	0.1	0.23
OECDaverage2000	496	0.7	497	0.6	490	0.7	496	0.5	498	0.6	2	1.5	4	1.3	8	1.3	2	0.9	0.3	0.08	1.9	0.24	0.1	0.04
OECDaverage2003	m	m	494	0.6	492	0.6	497	0.5	498	0.5	m	m	5	1.3	7	1.3	2	0.9	0.2	0.08	1.8	0.24	0.1	0.04
OECDaverage2006	m	m	m	m	489	0.6	494	0.5	496	0.5	m	m	m	m	7	1.2	3	0.8	0.4	0.08	2.1	0.24	0.2	0.04
OECDaverage2009	m	m	m	m	m	m	494	0.5	497	0.5	m	m	m	m	m	m	3	0.8	0.4	0.08	2.2	0.24	0.2	0.04
Albania	349	3.3	m	m	m	m	385	4.0	394	3.2	45	7.5	m	m	m	m	9	5.8	4.1	0.49	2.7	2.28	-0.1	0.28
Argentina	418	9.9	m	m	374	7.2	398	4.6	396	3.7	-22	12.1	m	m	22	9.8	-2	6.5	-1.6	1.00	7.8	2.70	0.8	0.33
Brazil	396	3.1	403	4.6	393	3.7	412	2.7	410	2.1	14	7.0	7	7.5	17	7.0	-2	4.3	1.2	0.35	2.2	1.11	0.1	0.18
Bulgaria	430	4.9	m	m	402	6.9	429	6.7	436	6.0	6	9.8	m	m	34	10.7	7	9.4	0.4	0.67	10.3	2.77	0.8	0.29
Colombia	m	m	m	m	385	5.1	413	3.7	403	3.4	m	m	m	m	18	8.3	-10	5.7	3.0	1.15	-9.5	3.38	-2.1	0.72
CostaRica	m	m	m	m	m	m	443	3.2	441	3.5	m	m	m	m	m	m	-2	5.4	-1.0	2.39	m	m	m	m
Croatia	m	m	m	m	477	2.8	476	2.9	485	3.3	m	m	m	m	7	7.1	9	5.1	1.2	0.88	4.7	2.85	0.6	0.63
DubaiUAE	m	m	m	m	m	m	459	1.1	468	1.3	m	m	m	m	m	m	9	3.1	3.0	1.02	m	m	m	m
HongKong-China	525	2.9	510	3.7	536	2.4	533	2.1	545	2.8	19	7.2	35	7.3	9	6.7	11	4.4	2.3	0.37	3.7	1.05	0.1	0.19
Indonesia	371	4.0	382	3.4	393	5.9	402	3.7	396	4.2	26	8.3	15	7.8	3	9.2	-6	6.2	2.3	0.53	-2.1	1.98	-0.4	0.25
Jordan	m	m	m	m	401	3.3	405	3.3	399	3.6	m	m	m	m	-2	7.4	-6	5.5	-0.3	0.93	-3.7	2.94	-0.6	0.65
Kazakhstan	m	m	m	m	m	m	390	3.1	393	2.7	m	m	m	m	m	m	2	4.8	0.8	1.59	m	m	m	m
Latvia	458	5.3	491	3.7	479	3.7	484	3.0	489	2.4	31	8.3	-2	7.1	9	7.1	5	4.6	1.9	0.53	-2.9	1.22	-0.4	0.18
Liechtenstein	483	4.1	525	3.6	510	3.9	499	2.8	516	4.1	33	8.3	-10	7.8	5	8.0	16	5.6	1.3	0.49	-3.4	1.38	-0.4	0.18
Lithuania	m	m	m	m	470	3.0	468	2.4	477	2.5	m	m	m	m	7	6.8	9	4.3	1.1	0.86	4.7	1.94	0.6	0.55
Macao-China	m	m	498	2.2	492	1.1	487	0.9	509	0.9	m	m	11	6.1	17	5.8	22	2.9	0.8	0.39	7.7	0.63	0.8	0.23
Malaysia	m	m	m	m	m	m	414	2.9	398	3.3	m	m	m	m	m	m	-16	5.1	-7.8	2.19	m	m	m	m
Montenegro	m	m	m	m	392	1.2	408	1.7	422	1.2	m	m	m	m	30	5.8	15	3.3	5.0	0.50	4.7	1.45	-0.1	0.51
Peru	327	4.4	m	m	m	m	370	4.0	384	4.3	57	8.6	m	m	m	m	14	6.4	5.2	0.58	4.7	2.85	0.0	0.31
Qatar	m	m	m	m	312	1.2	372	0.8	388	0.8	m	m	m	m	75	5.8	16	2.8	12.0	0.48	-2.0	0.82	-2.4	0.47
Romania	428	3.5	m	m	396	4.7	424	4.1	438	4.0	10	7.9	m	m	42	8.3	13	6.3	1.1	0.58	13.8	2.05	1.2	0.28
RussianFederation	462	4.2	442	3.9	440	4.3	459	3.3	475	3.0	13	7.8	33	7.5	35	7.7	16	5.2	1.1	0.48	10.7	1.40	0.8	0.19
Serbia	m	m	m	m	401	3.5	442	2.4	446	3.4	m	m	m	m	45	7.4	4	5.0	7.6	0.99	-4.8	2.48	-2.0	0.59
Shanghai-China	m	m	m	m	m	m	556	2.4	570	2.9	m	m	m	m	m	m	14	4.5	4.6	1.50	m	m	m	m
Singapore	m	m	m	m	m	m	526	1.1	542	1.4	m	m	m	m	m	m	16	3.1	5.4	1.04	m	m	m	m
ChineseTaipei	m	m	m	m	496	3.4	495	2.6	523	3.0	m	m	m	m	27	7.2	28	4.8	4.5	0.86	14.1	2.44	1.6	0.60
Thailand	431	3.2	420	2.8	417	2.6	421	2.6	441	3.1	11	7.4	21	7.0	24	6.9	20	4.8	1.1	0.42	8.2	1.18	0.7	0.20
Tunisia	m	m	375	2.8	380	4.0	404	2.9	404	4.5	m	m	29	7.7	24	8.2	0	5.9	3.8	0.62	2.6	2.20	-0.1	0.30
UnitedArabEmirates-Ex.Dubai	m	m	m	m	m	m	423	3.7	432	3.3	m	m	m	m	m	m	9	5.6	4.7	2.89	m	m	m	m
Uruguay	m	m	434	3.4	413	3.4	426	2.6	411	3.2	m	m	-23	7.3	-1	7.3	-14	4.8	-1.8	0.57	-0.1	1.74	0.2	0.28
