Ireland	523	2.6	86	1.7	509	3.5	538	3.0	-29	4.2	373	7.1	410	5.7	469	3.6	582	2.7	631	3.2	659	3.2
Israel	486	5.0	114	2.5	463	8.2	507	3.9	-44	7.9	282	9.5	329	7.5	414	6.8	568	4.5	624	4.5	656	4.8
Italy	490	2.0	97	0.9	471	2.5	510	2.3	-39	2.6	317	3.5	359	2.9	427	2.6	559	2.1	609	2.2	636	2.1
Japan	538	3.7	99	2.3	527	4.7	551	3.6	-24	4.1	364	7.7	409	6.5	475	4.8	607	3.8	658	4.4	689	5.1
Korea	536	3.9	87	2.0	525	5.0	548	4.5	-23	5.4	382	8.6	424	6.2	483	4.3	596	4.1	640	4.0	665	4.8
Luxembourg	488	1.5	105	1.0	473	1.9	503	1.8	-30	2.0	304	3.8	347	2.7	418	2.4	564	2.2	620	2.3	651	2.4
Mexico	424	1.5	80	1.0	411	1.7	435	1.6	-24	1.4	288	3.0	319	2.5	370	1.9	479	1.8	525	1.9	552	2.0
Netherlands	511	3.5	93	3.0	498	4.0	525	3.5	-26	3.1	349	8.3	386	6.6	451	5.1	579	3.7	625	3.6	650	3.8
NewZealand	512	2.4	106	1.6	495	3.3	530	3.5	-34	5.0	332	4.7	374	4.9	443	3.2	586	3.1	645	4.0	679	4.9
Norway	504	3.2	100	1.9	481	3.3	528	3.9	-46	3.3	330	8.1	375	4.8	442	4.0	573	3.4	627	3.9	658	4.2
Poland	518	3.1	87	1.6	497	3.7	539	3.1	-42	2.9	366	5.9	404	4.6	461	3.2	579	3.6	626	4.8	655	6.2
Portugal	488	3.8	94	1.9	468	4.2	508	3.7	-39	2.7	320	6.9	362	6.0	429	4.9	554	3.5	604	3.5	631	3.8
SlovakRepublic	463	4.2	104	3.3	444	4.6	483	5.1	-39	4.6	274	10.4	321	8.4	396	6.8	538	4.1	591	5.2	620	5.5
Slovenia	481	1.2	92	0.9	454	1.7	510	1.8	-56	2.7	324	2.9	362	2.5	420	1.9	548	2.1	598	2.5	626	3.7
Spain	488	1.9	92	1.1	474	2.3	503	1.9	-29	2.0	327	4.6	367	3.6	430	2.6	552	2.1	601	2.3	630	2.1
Sweden	483	3.0	107	1.8	458	4.0	509	2.8	-51	3.6	297	6.5	343	5.4	416	4.3	558	3.3	614	4.2	647	4.2
Switzerland	509	2.6	90	1.1	491	3.1	527	2.5	-36	2.6	352	4.6	388	3.9	451	3.3	573	2.8	622	3.2	648	3.9
Turkey	475	4.2	86	2.4	453	4.6	499	4.3	-46	4.0	335	5.3	365	4.6	417	4.0	534	5.6	588	6.8	620	7.9
UnitedKingdom	499	3.5	97	2.3	487	4.5	512	3.8	-25	4.6	330	7.4	372	7.0	438	4.8	567	3.4	619	3.8	650	4.3
UnitedStates	498	3.7	92	1.6	482	4.1	513	3.8	-31	2.6	342	7.2	378	4.8	436	4.5	561	3.9	614	4.0	646	4.7
Albania	394	3.2	116	2.0	387	3.8	401	3.7	-15	4.0	189	9.0	247	7.2	325	4.8	473	3.2	536	3.4	572	4.3
Argentina	396	3.7	96	2.3	377	4.5	414	3.6	-38	3.6	233	7.6	274	5.4	332	4.5	462	4.1	516	4.4	549	5.1
Brazil	410	2.1	85	1.2	394	2.4	425	2.2	-31	1.9	271	3.1	302	2.8	353	2.4	468	2.7	520	3.0	552	3.6
Bulgaria	436	6.0	119	2.8	403	6.3	472	5.6	-70	5.2	233	9.2	275	8.0	353	8.2	523	6.0	585	6.1	619	6.3
Colombia	403	3.4	84	1.9	394	3.9	412	3.8	-19	3.5	262	6.5	295	5.4	348	4.0	460	3.7	509	4.5	540	5.0
CostaRica	441	3.5	74	1.6	427	3.9	452	3.5	-25	2.6	315	5.4	344	5.4	391	4.3	490	4.2	536	5.0	563	4.9
Croatia		485	3.3	86	2.1	461	4.1	509	3.3	-48	4.0	337	5.9	370	5.1	427	4.4	546	3.8	593	4.9	622	5.1
Cyprus1,2	449	1.2	111	1.3	418	1.9	481	1.9	-64	3.0	249	4.0	297	3.3	378	2.4	528	2.1	583	2.6	616	3.3
HongKong-China	545	2.8	85	1.8	533	3.8	558	3.3	-25	4.7	391	6.4	430	5.4	493	4.4	604	3.0	648	3.4	672	4.1
Indonesia	396	4.2	75	2.7	382	4.8	410	4.3	-28	3.4	270	7.8	299	6.1	346	4.7	447	4.6	492	6.1	517	7.3
Jordan	399	3.6	91	2.5	361	5.5	436	3.1	-75	6.3	237	8.4	280	6.4	343	4.5	462	3.2	510	4.6	537	6.4
Kazakhstan	393	2.7	74	1.4	374	3.4	411	2.6	-37	2.9	268	4.0	297	4.4	344	3.1	444	3.4	487	3.5	511	4.1
Latvia	489	2.4	85	1.7	462	3.3	516	2.7	-55	4.0	341	5.9	375	5.6	434	3.0	548	2.9	593	2.8	619	4.1
Liechtenstein	516	4.1	88	4.2	504	6.2	529	5.8	-24	8.7	360	9.7	391	9.5	452	7.8	584	6.9	630	10.6	649	13.7
Lithuania	477	2.5	86	1.5	450	2.8	505	2.6	-55	2.3	331	5.1	363	4.0	419	3.9	538	2.8	585	3.1	612	3.6
Macao-China	509	0.9	82	0.7	492	1.4	527	1.1	-36	1.7	366	3.3	400	2.4	457	1.8	566	1.4	611	1.6	637	2.1
Malaysia	398	3.3	84	1.5	377	3.9	418	3.3	-40	3.1	255	4.7	288	4.4	343	3.7	457	3.9	503	4.3	530	5.2
Montenegro	422	1.2	92	1.3	391	2.3	453	1.5	-62	3.1	267	4.8	301	3.0	360	2.5	487	1.8	540	3.4	571	4.1
Peru	384	4.3	94	2.3	373	4.0	395	5.4	-22	4.3	231	5.2	263	5.1	319	4.7	447	5.2	504	6.4	540	8.5
Qatar	388	0.8	113	0.8	354	1.1	424	1.2	-70	1.6	203	2.4	242	2.0	310	1.7	465	1.9	535	2.3	575	2.3
Romania	438	4.0	90	2.0	417	4.5	457	4.2	-40	4.1	290	5.3	322	4.4	375	4.4	501	5.5	555	5.3	586	6.3
RussianFederation	475	3.0	91	1.5	455	3.5	495	3.2	-40	3.0	323	4.8	359	4.5	415	4.0	537	3.9	592	4.2	623	5.1
Serbia	446	3.4	93	2.0	423	3.9	469	3.8	-46	3.8	290	6.0	325	5.5	384	4.4	509	4.1	566	4.6	596	5.6
Shanghai-China	570	2.9	80	1.8	557	3.3	581	2.8	-24	2.5	431	5.1	463	4.6	518	3.6	626	2.8	667	3.5	690	4.7
Singapore	542	1.4	101	1.2	527	1.9	559	1.9	-32	2.6	369	3.6	408	2.9	475	2.1	614	2.1	668	3.2	698	3.7
ChineseTaipei	523	3.0	91	1.8	507	4.3	539	4.3	-32	6.4	361	5.5	399	5.2	467	4.4	587	2.8	633	3.6	659	4.7
Thailand	441	3.1	78	1.8	410	3.6	465	3.3	-55	3.2	310	5.0	341	4.4	389	3.5	494	3.7	541	4.4	569	6.2
Tunisia	404	4.5	88	2.5	388	5.0	418	4.4	-31	3.1	252	7.2	286	7.1	346	5.9	466	4.5	515	5.6	543	6.5
UnitedArabEmirates	442	2.5	95	1.1	413	3.9	469	3.2	-55	4.8	281	3.9	316	3.7	376	3.1	508	2.8	562	3.1	595	3.4
Uruguay	411	3.2	96	2.0	392	3.9	428	3.2	-35	3.5	248	5.8	285	5.3	348	4.3	477	3.0	534	4.1	564	5.5
VietNam	508	4.4	74	2.6	492	5.0	523	4.0	-31	2.6	379	9.6	411	8.2	462	5.4	559	3.9	599	5.0	623	5.3
