Lithuania	488	2.8	491	2.9	496	2.6	8	5.1	4	4.4	1.3	0.94	1.6	2.18	0.0	0.39
Macao-China	511	1.1	511	1.0	521	0.8	10	3.8	10	2.4	1.6	0.64	4.7	1.04	0.5	0.22
Malaysia	m	m	422	2.7	420	3.0	m	m	-3	4.5	-1.4	1.96	m	m	m	m
Montenegro	412	1.1	401	2.0	410	1.1	-2	3.8	9	3.0	-0.3	0.64	6.2	1.63	1.1	0.29
Peru	m	m	369	3.5	373	3.6	m	m	4	5.4	1.3	1.94	m	m	m	m
Qatar	349	0.9	379	0.9	384	0.7	34	3.7	4	2.3	5.4	0.61	-2.9	0.94	-1.4	0.21
Romania	418	4.2	428	3.4	439	3.3	20	6.4	11	5.1	3.4	1.08	3.7	2.96	0.0	0.52
RussianFederation	479	3.7	478	3.3	486	2.9	7	5.8	8	4.8	1.0	1.00	4.2	2.68	0.5	0.47
Serbia	436	3.0	443	2.4	445	3.4	9	5.8	2	4.6	1.5	1.03	-0.2	2.61	-0.3	0.42
Shanghai-China	m	m	575	2.3	580	3.0	m	m	6	4.3	1.8	1.50	m	m	m	m
Singapore	m	m	542	1.4	551	1.5	m	m	10	2.9	3.3	0.93	m	m	m	m
ChineseTaipei	532	3.6	520	2.6	523	2.3	-9	5.5	3	4.0	-1.5	0.92	3.5	2.31	0.8	0.42
Thailand	421	2.1	425	3.0	444	2.9	23	5.1	19	4.6	3.9	0.82	8.6	2.76	0.8	0.45
Tunisia	386	3.0	401	2.7	398	3.5	13	5.7	-3	4.8	2.2	1.03	-3.8	2.54	-1.0	0.42
UnitedArabEmirates-Ex.Dubai	m	m	429	3.3	439	3.8	m	m	10	5.4	5.1	2.75	m	m	m	m
Uruguay	428	2.7	427	2.6	416	2.8	-12	5.2	-11	4.3	-2.1	0.91	-5.5	2.09	-0.6	0.35
